| super(...)                                                   | FloatArrayStringConverter()                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:241:9:241:16        |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:240:10:240:34       |    0 |      |
| new NumericObjectArrayStringConverterFactory(...)            | NumericObjectArrayStringConverterFactory()            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:38:13:38:58   |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:41:13:41:52   |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:78:18:116:9   |    0 |      |
| super(...)                                                   | LongArrayStringConverter()                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:78:9:78:16    |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:77:10:77:33   |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:121:18:159:9  |    0 |      |
| super(...)                                                   | IntArrayStringConverter()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:121:9:121:16  |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:120:10:120:32 |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:164:18:202:9  |    0 |      |
| super(...)                                                   | ShortArrayStringConverter()                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:164:9:164:16  |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:163:10:163:34 |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:207:18:245:9  |    0 |      |
| super(...)                                                   | DoubleArrayStringConverter()                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:207:9:207:16  |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:206:10:206:35 |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:250:18:288:9  |    0 |      |
| super(...)                                                   | FloatArrayStringConverter()                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:250:9:250:16  |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericObjectArrayStringConverterFactory.java:249:10:249:34 |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:19:14:19:28                                    |    0 |      |
| new IndexOutOfBoundsException(...)                           | IndexOutOfBoundsException()                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:33:15:33:45                                    |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/DistanceFromStringConstructorInvalidParameter.java:25:12:25:56      |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/DistanceFromStringConstructorInvalidParameter.java:29:12:29:56      |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/DistanceFromStringConstructorInvalidParameterCount.java:25:12:25:61 |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/DistanceFromStringConstructorInvalidParameterCount.java:29:12:29:61 |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/test/java/org/joda/convert/DistanceFromStringException.java:31:12:31:38                        |    0 |      |
