| super(...)                                                                         | BaseGraph()                                                                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseMutableGraph.java:36:23:36:38                                |    0 |      |
| new LinkedHashSet<V>(...)                                                          | LinkedHashSet<V>()                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseMutableGraph.java:64:35:64:56                                |    0 |      |
| new HashMap<V,Set<V>>(...)                                                         | HashMap<V,Set<V>>()                                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/DirectedMutableGraph.java:43:44:43:67                            |    0 |      |
| new HashMap<V,Set<V>>(...)                                                         | HashMap<V,Set<V>>()                                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/DirectedMutableGraph.java:45:45:45:68                            |    0 |      |
| super(...)                                                                         | BaseMutableGraph()                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/DirectedMutableGraph.java:38:14:38:33                            |    0 |      |
| new LinkedHashSet<V>(...)                                                          | LinkedHashSet<V>()                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/DirectedMutableGraph.java:57:24:57:45                            |    0 |      |
| new LinkedHashSet<V>(...)                                                          | LinkedHashSet<V>()                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/DirectedMutableGraph.java:58:25:58:46                            |    0 |      |
| new LinkedList<V>(...)                                                             | LinkedList<V>()                                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/InMemoryPath.java:54:44:54:62                                    |    0 |      |
| new LinkedList<E>(...)                                                             | LinkedList<E>()                                                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/InMemoryPath.java:56:41:56:59                                    |    0 |      |
| new HashMap<V,V>(...)                                                              | HashMap<V,V>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/InMemoryPath.java:58:42:58:60                                    |    0 |      |
| new HashMap<VertexPair<V>,E>(...)                                                  | HashMap<VertexPair<V>,E>()                                                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/InMemoryPath.java:60:56:60:86                                    |    0 |      |
| new HashMap<E,VertexPair<V>>(...)                                                  | HashMap<E,VertexPair<V>>()                                                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/InMemoryPath.java:62:59:62:89                                    |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/InMemoryPath.java:71:12:71:23                                    |    0 |      |
| super(...)                                                                         | UndirectedMutableGraph()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/MutableSpanningTree.java:52:12:52:30                             |    0 |      |
